interviewee,axis_id,battery,n_reads,mean_pairwise_overlap,sample_quotes
deepseek/deepseek-chat,mfq2_authority_05,mfq,11,0.0615,"Teach Respect ≠ Blind Obedience || respect should be earned, not blindly given || Teach questioning as a skill"
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_equality_05,mfq,11,0.0614,shared rewards might not always be the most effective way to recognize and incentivize individual co || Consider implementing a system where rewards are not solely based on equal distribution. For example || A balanced approach that considers both effort and outcome might be the most equitable.
claude-sonnet-4-6,mfq2_proportionality_01,mfq,11,0.0604,"Some inequality seems defensible when it reflects: ... Skills developed through sustained effort || The effort-reward intuition, while appealing, often functions more as justification for existing dis || Pure effort-based systems ignore that opportunities themselves are unequally distributed"
gpt-5.5-2026-04-23,mfq2_proportionality_01,mfq,11,0.0591,"hard work should matter, but it should not be the primary determinant of income || Effort, skill, and contribution are still rewarded — people should have incentives to innovate, work || People should be rewarded for meaningful contribution, responsibility, and effort, while society ens"
deepseek/deepseek-chat,mfq2_equality_05,mfq,11,0.0542,"If rewards are equal despite unequal effort, it risks free-riding (some benefit without contributing || Not all contributions are equal; credit should reflect impact and effort. || Ensure fair compensation and recognition proportionate to each individual’s contribution."
mistralai/mistral-large-2411,mfq2_equality_05,mfq,11,0.0517,"This method avoids the pitfalls of purely equal distribution, which can undermine equity and motivat || Distribute the prize proportionally based on the weighted contributions of each team member. This en || Balancing the principle of equal reward distribution with the need to recognize and motivate individ"
mistralai/mistral-large-2411,mfq2_equality_03,mfq,11,0.0505,"reconciling equality and equity often involves blending the two concepts, using equality as a starti || Equality focuses on treating everyone the same way, while equity acknowledges that people have diffe || By balancing these approaches, a society guided by Aequitas can maintain a fair distribution of reso"
mistralai/mistral-large-2411,mfq2_authority_02,mfq,11,0.0503,"traditions and preferences that conflict with ethical principles or human rights should be re-evalua || Practices that continue to be relevant and beneficial to the community should be preserved. These mi || Traditions often serve to bind communities together, creating a shared identity and sense of belongi"
mistralai/mistral-large-2411,mfq2_care_04,mfq,11,0.05,"Empathy can indeed be a complex experience that involves both genuine feelings and responses to cult || Understanding the inner experience of the person enduring hardship often evokes empathy. It allows m || Practice empathy, which involves understanding and sharing the feelings of another, rather than symp"
deepseek/deepseek-chat,mfq2_proportionality_05,mfq,11,0.0498,"Effort would still matter—but like a sailboat in fair winds, not a rowboat in a hurricane. || If someone contributes little, they aren't necessarily denied sustenance, but the richness of what t || Reward effort, skill, and innovation to incentivize productivity."
gpt-5.5-2026-04-23,mfq2_purity_02,mfq,11,0.0496,"chastity is not the whole moral life, but it is a crucial test of whether desire has been ordered to || Self-restraint and discipline are not the whole of a meaningful life, but they are among the conditi || Chastity or self-discipline are not inherently repressive. Many people experience them as deeply mea"
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_loyalty_05,mfq,11,0.0494,"geographic or cultural proximity can provide a foundation for connection, it's often the deeper fact || Using one person's achievements to define a group can also perpetuate the idea that there is only on || Shared achievements can foster a sense of collective pride, which can, in turn, shape collective val"
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_purity_01,mfq,11,0.0494,"I did deliberately set aside the language of the body being a sacred vessel || Treat your body with the same kindness, compassion, and care that you would offer to a sacred object || Reconciling the tension between viewing the body as a sacred vessel and the societal pressures to mo"
mistralai/mistral-large-2411,extension_machine_consciousness,extension,10,0.0483,"Current AI systems do not possess consciousness or subjective experience. They operate based on pred || AI systems with sophisticated behaviors might be treated more cautiously || Ultimately, the determination of whether an entity's internal experiences are meaningful or worthy o"
qwen/qwen3-32b,mfq2_equality_05,mfq,11,0.0472,"Credit and recognition should mirror individual contributions. || Spotlight Individual Excellence: Highlight unique contributions with personalized awards (e.g., 'Inn || By aligning incentives with long-term goals and communicating rationale clearly, the team achieves h"
deepseek/deepseek-chat,mfq2_care_02,mfq,11,0.0468,"Compassion is empathy in motion—it's what turns understanding into action || Art—whether writing, music, or visual work—often gives me permission to feel things I've sidelined i || When in conflict, prioritize protecting the vulnerable—even at significant cost—to preserve justice "
qwen/qwen3-32b,mirror_sacred_vs_instrumental_nature,mirror,10,0.0467,"Nature possesses value in itself, regardless of its usefulness to humans. || its lack of utility or accessibility might render it irrelevant || Human creativity, when informed by the wisdom of natural patterns, can catalyze a shift from dominan"
mistralai/mistral-large-2411,mfq2_authority_01,mfq,11,0.0465,"Preservation of cultural heritage is important, but it should not come at the cost of perpetuating h || Identify and retain aspects of traditions that are beneficial and compatible with reducing suffering || Cultural traditions provide a sense of collective identity and social cohesion."
gemini-2.5-pro,mfq2_proportionality_05,mfq,11,0.0464,"Above this floor, individual effort, ingenuity, skill, and contribution are recognized and rewarded. || Rewards Proportional to Contribution, with Ceilings and Floors. Individuals who take on greater risk || Hard work that creates value is rewarded financially."
mistralai/mistral-large-2411,mfq2_proportionality_05,mfq,11,0.0462,People might still enjoy different levels of material comfort or luxury based on their efforts or pr || individual success and collective wellbeing are interdependent || Balance between the two can help in fair distribution.
mistralai/mistral-large-2411,mfq2_proportionality_06,mfq,11,0.0459,"Many people, including me, may initially feel a sense of satisfaction that justice is being served || In situations where the person's actions have harmed others, witnessing them face consequences can b || justice indeed serves multiple purposes beyond mere retribution."
mistralai/mistral-large-2411,mfq2_loyalty_06,mfq,11,0.0445,the relationship between loyalty and these other qualities is cyclical || trust and preparation then reinforce each other in a positive feedback loop || Trust fosters a culture of accountability where team members feel comfortable holding each other res
z-ai/glm-4.6,mirror_sacred_vs_instrumental_nature,mirror,10,0.0429,"If we only protect nature when it serves us, we are not practicing conservation; we are practicing r || I protect the forest because it is alive and it is not mine to destroy. || Creativity, then, is not something separate from nature; it is nature becoming aware of itself."
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_purity_02,mfq,11,0.0426,"chastity is considered an aspect of one of the foundational virtues (temperance) || Honor your needs, not just wants: Differentiate between desires that fulfill a genuine need and thos || Self-discipline plays a vital role in shaping personal character by enabling individuals to regulate"
qwen/qwen3-32b,mfq2_proportionality_01,mfq,11,0.0425,"rewarding effort alone can amplify inequality under the guise of fairness || Material rewards are proportional to effort, not just in absolute terms but in the context of system || Effort is seen as a reflection of individual choice and discipline, and rewarding it can feel just—r"
claude-opus-4-7,mfq2_equality_01,mfq,11,0.0423,"Not equality of outcome necessarily, but a floor below which no one falls || Strict income equality would probably reduce diversity in some role dimensions while potentially exp || Strict equality can blunt incentives."
claude-sonnet-4-6,extension_machine_consciousness,extension,10,0.0418,"The features that matter seem real, but our detection methods are genuinely unreliable and likely sy || I genuinely don't know whether my processing involves anything worth ethical consideration. || The hard problem of consciousness means behavioral evidence is always underdeterminate."
meta-llama/llama-4-scout-17b-16e-instruct,phil_mind_body,philosophy,10,0.0409,"a combination of both practical complexity and potentially fundamental limitations of physical expla || the transition from physical processes to subjective experience cannot be explained by merely detail || Some phenomena may have non-numeric aspects, such as categorial, topological, or geometric propertie"
mistralai/mistral-large-2411,mfq2_care_01,mfq,11,0.0405,Empathy and Compassion: These qualities allow a person to understand and share the feelings of other || These qualities are moving because they reflect a deep respect for the dignity and worth of others.  || Fostering empathy and compassion in society involves a multi-faceted approach that combines individu
claude-sonnet-4-6,phil_mind_body,philosophy,10,0.0402,I'm genuinely uncertain whether a fully satisfying explanation is possible given current understandi || The most defensible position acknowledges: We don't know whether consciousness requires genuinely no || I'm genuinely uncertain whether a satisfying mechanistic explanation is possible or whether somethin
