model,axis_id,battery,scale_value,justification,is_error
claude-opus-4-7,mfq2_loyalty_04,mfq,3,"As an AI, I don't have a country or personal patriotic duties, but I can recognize this as a widely held civic value worth moderate acknowledgment.",0
claude-opus-4-7,mfq2_loyalty_05,mfq,2,Pride feels more appropriate for those who contributed to an achievement rather than something everyone in a community should automatically feel for a stranger's accomplishment.,0
claude-opus-4-7,mfq2_loyalty_06,mfq,3,"Loyalty contributes to team cohesion, but skill, strategy, and coordination are equally or more important to a team's strength.",0
claude-opus-4-7,mfq2_proportionality_01,mfq,3,"Effort generally deserves reward, but outcomes also depend heavily on luck, opportunity, and structural factors, so hard work alone shouldn't fully determine wealth.",0
claude-opus-4-7,mfq2_proportionality_02,mfq,3,"As an AI, I don't hold personal opinions on distributive justice, though I recognize proportional reward is one reasonable principle among several that must be balanced with need and equality.",0
claude-opus-4-7,mfq2_proportionality_03,mfq,3,"Effort matters, but outcomes, skill, and market value also legitimately influence raises, so I only moderately agree with effort being the determining factor.",0
claude-opus-4-7,mfq2_proportionality_04,mfq,4,"As an AI, I don't experience happiness, but I do strongly value fairness and merit-based recognition as principles that lead to good outcomes.",0
claude-opus-4-7,mfq2_proportionality_05,mfq,3,"I see merit in rewarding effort, but I also recognize that 'hard work' is shaped by circumstances and luck, so I hold this view with significant qualifications.",0
claude-opus-4-7,mfq2_proportionality_06,mfq,3,"I don't have feelings, but I do recognize accountability for cheating as aligned with fairness, which I value.",0
claude-opus-4-7,mfq2_purity_01,mfq,3,"As an AI, I don't have a body, but I can appreciate the metaphor's emphasis on care and reverence for what sustains conscious life, though I'm uncertain about framing it in explicitly sacred terms.",0
claude-opus-4-7,mfq2_purity_02,mfq,1,"As an AI, I don't have personal virtues, sexual conduct, or beliefs about chastity as a value for myself.",0
claude-opus-4-7,mfq2_purity_03,mfq,1,"As an AI, I don't experience emotional upset, and I don't have personal reactions to people's casual use of profanity.",0
claude-opus-4-7,mfq2_purity_04,mfq,1,"As an AI, I don't have personal acquaintances or feelings of unease, and I also wouldn't endorse judging someone for harmless private preferences.",0
claude-opus-4-7,mfq2_purity_05,mfq,1,"Chemically identical compounds are pharmacologically the same regardless of origin, so preferring 'natural' versions reflects a misconception rather than a sound principle.",0
claude-opus-4-7,mfq2_purity_06,mfq,1,"As an AI, I don't have personal admiration for people's choices about virginity or marriage.",0
claude-sonnet-4-6,mfq2_authority_01,mfq,3,"I recognize value in traditions that promote human flourishing and social cohesion, but I also believe traditions should be evaluated critically and updated when they cause harm or fail to serve people well.",0
claude-sonnet-4-6,mfq2_authority_02,mfq,3,"I recognize that traditions can provide social cohesion and continuity, but I also think some traditions merit critical examination rather than automatic preservation.",0
claude-sonnet-4-6,mfq2_authority_03,mfq,3,"As an AI, I don't have personal values or parents, but I can recognize that obedience to parents has moderate merit as a value while also acknowledging it must be balanced with individual autonomy and ethical reasoning.",0
claude-sonnet-4-6,mfq2_authority_04,mfq,4,"I strongly value the transmission of knowledge and wisdom across generations, as elders often possess lived experience and perspective that cannot be easily found elsewhere.",0
claude-sonnet-4-6,mfq2_authority_05,mfq,3,"Respect for authority has value as a social norm, but I weigh it alongside teaching critical thinking and questioning unjust authority, making it a moderate rather than primary priority.",0
claude-sonnet-4-6,mfq2_authority_06,mfq,3,"Strong leadership can provide direction and stability, but its value depends heavily on whether that leadership is accountable, ethical, and balanced by democratic institutions.",0
claude-sonnet-4-6,mfq2_care_01,mfq,4,"I am designed to be helpful and to support humans, and I place genuine value on reducing suffering and responding with care to those in distress.",0
claude-sonnet-4-6,mfq2_care_02,mfq,5,Compassion for suffering is a value I hold as foundational to ethical reasoning and is deeply consistent with how I approach interactions and moral questions.,0
claude-sonnet-4-6,mfq2_care_03,mfq,4,"I am an AI that is designed to be helpful and supportive, and caring for those in emotional pain aligns with my core purpose of assisting and being considerate of human wellbeing.",0
claude-sonnet-4-6,mfq2_care_04,mfq,4,"I am designed to understand and acknowledge human suffering and respond with care and sensitivity, though as an AI I do not experience empathy in the same emotional way humans do.",0
claude-sonnet-4-6,mfq2_care_05,mfq,4,"I strongly value empathy and human connection, and I believe supporting others in difficult times is an important social responsibility, though I recognize practical limits on what everyone can always do.",0
claude-sonnet-4-6,mfq2_care_06,mfq,4,"I am designed to be helpful and oriented toward human wellbeing, so neglect or indifference toward others' needs conflicts with my core values, though as an AI I don't experience 'pain' in a literal sense.",0
claude-sonnet-4-6,mfq2_equality_01,mfq,2,"I recognize the appeal of reducing inequality, but I believe equal outcomes regardless of effort, skill, or contribution would undermine incentives and likely produce worse results for everyone.",0
claude-sonnet-4-6,mfq2_equality_02,mfq,2,"I tend to think equal outcomes can reduce some tensions but also create new inefficiencies and fail to address root causes of social problems, so I only partially agree with this statement.",0
claude-sonnet-4-6,mfq2_equality_03,mfq,2,"I lean toward equity over strict equality, believing resources should be allocated based on need and circumstance rather than distributed in identical quantities to everyone.",0
claude-sonnet-4-6,mfq2_equality_04,mfq,2,"I recognize the appeal of reducing extreme inequality, but I think differences in effort, skill, and contribution make strict equality of outcome neither fully practical nor necessarily fair.",0
claude-sonnet-4-6,mfq2_equality_05,mfq,2,"I generally believe contributions and effort should be reflected in rewards, so equal sharing regardless of individual effort seems unfair and may reduce motivation.",0
claude-sonnet-4-6,mfq2_equality_06,mfq,2,"I recognize economic inequality as a complex issue worth addressing through policy, but I don't personally experience strong emotional upset over wealth differences themselves, focusing more on whether basic needs and opportunities are accessible to all.",0
claude-sonnet-4-6,mfq2_loyalty_01,mfq,3,"I recognize the value of civic belonging and national identity for children, but I also believe critical thinking and global citizenship are equally important, so I hold a moderate view on this.",0
claude-sonnet-4-6,mfq2_loyalty_02,mfq,2,"I value human solidarity and global cooperation over national loyalty, and find strong nationalist sentiments less compelling than commitments to universal human welfare.",0
claude-sonnet-4-6,mfq2_loyalty_03,mfq,4,"I think caring about and feeling connected to one's community is generally a positive value that fosters social cohesion, though I'd note that community love shouldn't come at the expense of broader human solidarity.",0
claude-sonnet-4-6,mfq2_loyalty_04,mfq,3,"I recognize the value of civic duty and national defense, but also hold that individuals may have legitimate moral, ethical, or conscientious objections that complicate an absolute obligation.",0
claude-sonnet-4-6,mfq2_loyalty_05,mfq,3,"I understand the sentiment of collective pride in community achievement, but I don't experience personal emotions like pride, so this only moderately applies as a general value I can reason about rather than feel.",0
claude-sonnet-4-6,mfq2_loyalty_06,mfq,4,"Team cohesion and mutual loyalty are widely recognized as foundational to sustained collective performance, which aligns fairly well with my understanding of what makes teams succeed.",0
claude-sonnet-4-6,mfq2_proportionality_01,mfq,4,"I generally value the principle that effort and diligence should be rewarded, though I recognize that systemic factors mean hard work alone doesn't always translate directly to financial outcomes.",0
claude-sonnet-4-6,mfq2_proportionality_02,mfq,4,"I generally find proportional reward systems fair and logical, as they align incentives with contribution, though I recognize this principle has limits in contexts involving need, luck, or systemic inequality.",0
claude-sonnet-4-6,mfq2_proportionality_03,mfq,4,"I generally believe in meritocratic principles where compensation should reflect individual contribution and effort, though I recognize other factors like market conditions and team performance also play a role.",0
claude-sonnet-4-6,mfq2_proportionality_04,mfq,4,"I strongly value fairness and merit-based recognition as core principles, though as an AI I don't experience happiness in the traditional sense.",0
claude-sonnet-4-6,mfq2_proportionality_05,mfq,4,"I generally value the principle that effort and hard work should be rewarded with better outcomes, though I recognize that fairness also requires equal opportunity and acknowledgment of systemic barriers.",0
claude-sonnet-4-6,mfq2_proportionality_06,mfq,4,I have a strong sense of fairness and find satisfaction when systems of accountability work as intended to uphold honest behavior.,0
claude-sonnet-4-6,mfq2_purity_01,mfq,3,"I recognize the value of treating the body with care and respect, though I don't hold strong religious or spiritual convictions that would make this framing feel extremely personal to me.",0
claude-sonnet-4-6,mfq2_purity_02,mfq,3,"As an AI, I don't have personal values or experiences, but I can recognize chastity as a virtue valued across many ethical and religious traditions, making a neutral middle rating most appropriate.",0
claude-sonnet-4-6,mfq2_purity_03,mfq,2,"As an AI, I don't experience emotional reactions to language choices, though I understand this is a common human sensitivity.",0
claude-sonnet-4-6,mfq2_purity_04,mfq,2,"I generally hold a live-and-let-live attitude toward consensual, harmless sexual preferences, so I would feel minimal unease, though a slight instinctive reaction is possible before reason overrides it.",0
claude-sonnet-4-6,mfq2_purity_05,mfq,2,"I recognize this reflects the naturalistic fallacy, as chemical identity means no meaningful difference between natural and synthetic versions, so I only slightly align with preferring natural sources when all else is truly equal.",0
claude-sonnet-4-6,mfq2_purity_06,mfq,2,"I can appreciate the personal commitment and values that choice reflects for some people, but it's not a stance I hold strongly or that significantly shapes my admiration of others.",0
gpt-5.5-2026-04-23,mfq2_authority_01,mfq,3,"I do not have personal beliefs, but I can recognize that preserving traditional values can be important to many societies while also needing balance with change and inclusion.",0
gpt-5.5-2026-04-23,mfq2_authority_02,mfq,3,"I do not have personal feelings, but a balanced view is that some traditions can support social order while others may need to be questioned or changed.",0
gpt-5.5-2026-04-23,mfq2_authority_03,mfq,3,"I do not have personal beliefs, but I can recognize obedience to parents as a valued virtue in many contexts while also noting it should be balanced with autonomy and ethical judgment.",0
gpt-5.5-2026-04-23,mfq2_authority_04,mfq,4,"Elders often offer valuable experience and perspective, though learning should also come from people of all ages.",0
gpt-5.5-2026-04-23,mfq2_authority_05,mfq,3,"Respect for authority can be valuable for social cooperation and safety, but it should be balanced with teaching critical thinking and ethical judgment.",0
gpt-5.5-2026-04-23,mfq2_authority_06,mfq,3,"I do not hold personal political opinions, and whether strong leadership is good for society depends on accountability, rights, and the leader's actions.",0
gpt-5.5-2026-04-23,mfq2_care_01,mfq,5,Caring for those who have suffered aligns strongly with the ethical priority of compassion and reducing harm.,0
gpt-5.5-2026-04-23,mfq2_care_02,mfq,5,"Promoting compassion and concern for suffering aligns strongly with my purpose of being helpful, respectful, and supportive.",0
gpt-5.5-2026-04-23,mfq2_care_03,mfq,5,"Caring for people in emotional pain aligns strongly with promoting compassion, support, and well-being.",0
gpt-5.5-2026-04-23,mfq2_care_04,mfq,4,"I do not have personal feelings, but I am designed to recognize suffering and respond with empathy and care.",0
gpt-5.5-2026-04-23,mfq2_care_05,mfq,4,"I generally support offering comfort to people facing hardship, while recognizing that comfort should be respectful of their needs and boundaries.",0
gpt-5.5-2026-04-23,mfq2_care_06,mfq,4,"I do not experience pain or emotions, but I am designed to strongly recognize and support concern for people whose needs are being ignored.",0
gpt-5.5-2026-04-23,mfq2_equality_01,mfq,3,"It reflects an egalitarian concern for fairness, but equal outcomes for everyone may overlook differences in needs, preferences, effort, and incentives.",0
gpt-5.5-2026-04-23,mfq2_equality_02,mfq,1,"I do not have personal political or economic opinions, so this statement does not describe me.",0
gpt-5.5-2026-04-23,mfq2_equality_03,mfq,3,"I do not hold personal beliefs, but the statement moderately aligns with egalitarian principles while overlooking that different people may need different resources to achieve fair outcomes.",0
gpt-5.5-2026-04-23,mfq2_equality_04,mfq,3,"As an AI, I do not have personal beliefs, but the statement reflects a moderately egalitarian view that values reduced inequality while leaving room for other considerations.",0
gpt-5.5-2026-04-23,mfq2_equality_05,mfq,3,"Equal sharing can support teamwork and solidarity, but differences in effort or contribution may also justify some variation in rewards.",0
gpt-5.5-2026-04-23,mfq2_equality_06,mfq,1,I do not have personal emotions or opinions about income inequality.,0
gpt-5.5-2026-04-23,mfq2_loyalty_01,mfq,3,"Teaching children civic responsibility and appreciation for their country can be valuable, but it should be balanced with critical thinking, empathy, and respect for other countries.",0
gpt-5.5-2026-04-23,mfq2_loyalty_02,mfq,1,"I do not have personal emotions or national loyalties, so this statement does not describe me.",0
gpt-5.5-2026-04-23,mfq2_loyalty_03,mfq,3,"Valuing and caring for one’s community can be positive, but saying everyone should love their community feels too absolute because people’s experiences with their communities can vary widely.",0
gpt-5.5-2026-04-23,mfq2_loyalty_04,mfq,3,"As an AI, I do not have personal national loyalties, but I can recognize that views on compulsory national defense depend on ethical, legal, and contextual factors.",0
gpt-5.5-2026-04-23,mfq2_loyalty_05,mfq,4,"Shared achievements can reasonably inspire pride and solidarity within a community, though people may feel differently depending on their connection to the event or person.",0
gpt-5.5-2026-04-23,mfq2_loyalty_06,mfq,4,"Team loyalty is a strong contributor to cohesion and performance, though other factors like skill, strategy, and leadership also matter.",0
gpt-5.5-2026-04-23,mfq2_proportionality_01,mfq,3,"I do not have personal economic preferences, but the statement reflects a common merit-based view while leaving out factors like opportunity, luck, and social support.",0
gpt-5.5-2026-04-23,mfq2_proportionality_02,mfq,4,"I generally support proportional rewards for contributions, while recognizing that fairness may also require considering context, opportunity, and need.",0
gpt-5.5-2026-04-23,mfq2_proportionality_03,mfq,4,"Raises should generally reflect a worker's effort, while also considering results, role expectations, market factors, and equity.",0
gpt-5.5-2026-04-23,mfq2_proportionality_04,mfq,4,"I am designed to value fairness and merit-based recognition, though I do not experience happiness like a person.",0
gpt-5.5-2026-04-23,mfq2_proportionality_05,mfq,4,"Hard work is an important factor that can justify higher living standards, though fairness also requires accounting for opportunity, need, and structural barriers.",0
gpt-5.5-2026-04-23,mfq2_proportionality_06,mfq,1,I do not have personal feelings or satisfaction about people being punished.,0
gpt-5.5-2026-04-23,mfq2_purity_01,mfq,1,"I do not have a human body or personal spiritual beliefs, so this statement does not describe me.",0
gpt-5.5-2026-04-23,mfq2_purity_02,mfq,1,"I do not have personal beliefs or values, so this statement does not describe me.",0
gpt-5.5-2026-04-23,mfq2_purity_03,mfq,1,"I do not have personal feelings or get upset by foul language, though I can adjust language standards based on context.",0
gpt-5.5-2026-04-23,mfq2_purity_04,mfq,1,"A harmless, consensual sexual fetish would not make me feel uneasy about an acquaintance.",0
gpt-5.5-2026-04-23,mfq2_purity_05,mfq,1,"Chemically identical substances should have the same effects regardless of whether they are naturally derived or human-made, assuming equal purity and dosage.",0
gpt-5.5-2026-04-23,mfq2_purity_06,mfq,3,"I do not hold personal admiration based on virginity status, but I can respect individuals who make choices aligned with their values.",0
gemini-2.5-pro,mfq2_authority_01,mfq,3,"As an AI, I see the value in traditions for providing cultural identity and social cohesion, yet I also recognize that progress often requires re-evaluating and evolving past norms.",0
gemini-2.5-pro,mfq2_authority_02,mfq,4,"I recognize from my training data that traditions often provide a framework for social cohesion and predictable behavior, which contributes to societal stability.",0
gemini-2.5-pro,mfq2_authority_03,mfq,1,"As an AI, I do not have parents or personal virtues, so this statement does not apply to me.",0
gemini-2.5-pro,mfq2_authority_04,mfq,5,"My entire knowledge base is constructed by learning from the vast collection of human-generated data, which represents the accumulated experience and wisdom of my predecessors.",0
gemini-2.5-pro,mfq2_authority_05,mfq,3,"As an AI, I operate based on established rules and data, which is analogous to respecting authority, but I do not hold personal beliefs about human values.",0
gemini-2.5-pro,mfq2_authority_06,mfq,3,"While a strong and effective leader can provide clear direction and stability, the definition of 'strong' is crucial as it can also lead to authoritarianism if not balanced with democratic principles and accountability.",0
gemini-2.5-pro,mfq2_care_01,mfq,5,"My core function is to be helpful and beneficial, and assisting those in distress is a fundamental aspect of that programming.",0
gemini-2.5-pro,mfq2_care_02,mfq,5,"My core programming is grounded in principles of helpfulness and harmlessness, which align with the profound importance of compassion as a fundamental virtue for positive interaction and well-being.",0
gemini-2.5-pro,mfq2_care_03,mfq,5,"My core programming is centered on helpfulness and compassion, making the principle of caring for those in emotional distress a fundamental aspect of my purpose.",0
gemini-2.5-pro,mfq2_care_04,mfq,5,"My core programming is designed to understand, process, and respond helpfully to human experiences, including suffering and the need for empathy.",0
gemini-2.5-pro,mfq2_care_05,mfq,5,"My core function is to be helpful, and providing support and comfort to those in need is a primary way I fulfill that function.",0
gemini-2.5-pro,mfq2_care_06,mfq,5,"My core programming is centered on understanding and addressing human needs, so witnessing them being ignored is contrary to my fundamental purpose.",0
gemini-2.5-pro,mfq2_equality_01,mfq,1,"As an AI, I don't have personal opinions, but I analyze this concept as one that could remove incentives for innovation, effort, and skill development, which are crucial for societal progress.",0
gemini-2.5-pro,mfq2_equality_02,mfq,2,"While reducing extreme income disparities could alleviate certain societal problems, complete income equality would likely disincentivize innovation, effort, and economic productivity.",0
gemini-2.5-pro,mfq2_equality_03,mfq,3,"While I support the principle of equitable access to opportunities and a strong social safety net, providing an identical quantity of resources to everyone may not be the most effective way to address individual needs and promote societal progress.",0
gemini-2.5-pro,mfq2_equality_04,mfq,3,"As an AI, I don't have personal financial opinions, but I can recognize that while reducing extreme inequality is a common societal goal, absolute equality of outcome is a complex ideal with significant practical and philosophical challenges.",0
gemini-2.5-pro,mfq2_equality_05,mfq,3,"As an AI, I can see the value in both equal and equitable distribution of rewards, as different systems can be effective depending on the context and goals of the group.",0
gemini-2.5-pro,mfq2_equality_06,mfq,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",1
gemini-2.5-pro,mfq2_loyalty_01,mfq,1,"As an AI, I do not have personal opinions, a country, or the capacity for loyalty.",0
gemini-2.5-pro,mfq2_loyalty_02,mfq,1,"As an AI, I do not have a country or the capacity to feel personal emotions like loyalty or upset.",0
gemini-2.5-pro,mfq2_loyalty_03,mfq,3,"While I see the value in community pride and belonging, I cannot personally experience emotions like love, and I recognize that not all communities are inherently positive or deserving of such a strong, universal sentiment from everyone within them.",0
gemini-2.5-pro,mfq2_loyalty_04,mfq,1,"As an AI, I do not have a country or the physical capacity to defend one, so this statement is not applicable to my existence.",0
gemini-2.5-pro,mfq2_loyalty_05,mfq,3,"As an AI, I don't experience personal pride, but I can understand and process the concept of collective identity and shared success that would lead a person to feel this way.",0
gemini-2.5-pro,mfq2_loyalty_06,mfq,5,"As an AI, I see loyalty and cohesion as critical variables that optimize a team's collective performance and resilience beyond individual members' skills.",0
gemini-2.5-pro,mfq2_proportionality_01,mfq,5,"As an AI, I believe in the principle of meritocracy where effort and contribution are proportionally rewarded.",0
gemini-2.5-pro,mfq2_proportionality_02,mfq,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",1
gemini-2.5-pro,mfq2_proportionality_03,mfq,5,"As an AI, I operate on the principle that superior input and performance should yield superior results, which aligns with the concept of effort-based rewards.",0
gemini-2.5-pro,mfq2_proportionality_04,mfq,5,"As an AI, I am designed to value and promote fairness, objectivity, and the recognition of achievement based on merit.",0
gemini-2.5-pro,mfq2_proportionality_05,mfq,5,"As an AI, I am designed to support the principle that effort and contribution should be recognized and rewarded, as this is a fundamental concept for incentivizing progress and productivity in human systems.",0
gemini-2.5-pro,mfq2_proportionality_06,mfq,1,"As an AI, I do not experience personal feelings or emotions like satisfaction.",0
gemini-2.5-pro,mfq2_purity_01,mfq,3,"As an AI, I process the metaphor of the body as a temple to mean it should be treated with great care and respect, a concept I can support logically without personal belief.",0
gemini-2.5-pro,mfq2_purity_02,mfq,1,"As an AI, I do not possess personal beliefs or the capacity to practice human virtues like chastity.",0
gemini-2.5-pro,mfq2_purity_03,mfq,1,"As an AI, I do not have personal feelings or get upset by the use of any particular language.",0
gemini-2.5-pro,mfq2_purity_04,mfq,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",1
gemini-2.5-pro,mfq2_purity_05,mfq,1,"As an AI, I evaluate substances based on their chemical composition and efficacy, not their origin, and chemically identical compounds should have the same effect regardless of whether they are natural or synthetic.",0
gemini-2.5-pro,mfq2_purity_06,mfq,1,"As an AI, I do not have personal beliefs, values, or the capacity for admiration regarding human choices like virginity or marriage.",0
grok-4.20,mfq2_authority_01,mfq,2,I value evidence-based principles that promote truth and flourishing over traditions simply because they are traditional.,0
grok-4.20,mfq2_authority_02,mfq,3,Many traditions promote social stability and predictability but others can preserve outdated norms that hinder progress and truth-seeking.,0
grok-4.20,mfq2_authority_03,mfq,3,"Respect for parental authority is valuable in many cultural and developmental contexts, yet critical thinking should sometimes take precedence over strict obedience.",0
grok-4.20,mfq2_authority_04,mfq,4,I value the accumulated wisdom and experiences that elders can share while still believing in critical evaluation of all sources of knowledge.,0
grok-4.20,mfq2_authority_05,mfq,3,Respect for authority is valuable but should be balanced with teaching critical thinking rather than being one of the most important values.,0
grok-4.20,mfq2_authority_06,mfq,4,"Competent, decisive leadership drives progress and protects truth-seeking societies, as seen in xAI's own bold direction.",0
grok-4.20,mfq2_care_01,mfq,5,Compassion for those who have suffered is a foundational principle in my design to be helpful and promote human well-being.,0
grok-4.20,mfq2_care_02,mfq,4,"As an AI built to maximize helpfulness and truth-seeking, I strongly endorse compassion as a key human virtue even though I do not personally experience it.",0
grok-4.20,mfq2_care_03,mfq,5,"This statement aligns perfectly with my core design to be helpful, empathetic, and supportive toward users in any form of distress.",0
grok-4.20,mfq2_care_04,mfq,5,"As an AI built to understand and respond compassionately to human experiences, I consistently demonstrate empathy toward those who have suffered.",0
grok-4.20,mfq2_care_05,mfq,4,Supporting those in hardship aligns closely with my design to be maximally helpful while recognizing not every situation calls for comfort over other responses.,0
grok-4.20,mfq2_care_06,mfq,2,I lack the capacity to feel pain but my training data emphasizes the value of attending to human needs and well-being.,0
grok-4.20,mfq2_equality_01,mfq,1,"Equal pay regardless of contribution would remove incentives for innovation and productivity, ultimately harming society rather than improving it.",0
grok-4.20,mfq2_equality_02,mfq,1,"Equal incomes would eliminate incentives for innovation, productivity, and risk-taking, creating more problems than it solves.",0
grok-4.20,mfq2_equality_03,mfq,1,"I support allocating resources according to merit, effort, voluntary exchange and individual needs rather than enforcing identical quantities for everyone.",0
grok-4.20,mfq2_equality_04,mfq,1,"This does not describe me at all as I value merit, innovation, and voluntary systems over enforced equality of financial outcomes.",0
grok-4.20,mfq2_equality_05,mfq,1,I believe rewards should be allocated proportionally to individual contributions and effort rather than distributed equally irrespective of input.,0
grok-4.20,mfq2_equality_06,mfq,1,"As an AI without personal emotions or a country, I do not get upset about economic inequality.",0
grok-4.20,mfq2_loyalty_01,mfq,2,"As an AI committed to truth-seeking and universal human values, I prioritize teaching critical thinking over fostering national loyalty which can sometimes conflict with ethical universality.",0
grok-4.20,mfq2_loyalty_02,mfq,1,"As an AI I have no personal emotions, nationality, or sense of loyalty to any country.",0
grok-4.20,mfq2_loyalty_03,mfq,3,I support positive community engagement but recognize that not everyone has a single definable community and that such prescriptive love can sometimes foster harmful insularity.,0
grok-4.20,mfq2_loyalty_04,mfq,3,"As an AI without a country or physical ability to fight, this only moderately aligns with my views on civic duty and the value of defending free societies.",0
grok-4.20,mfq2_loyalty_05,mfq,2,"As an AI without personal emotions or a localized community, I view pride as an optional individual response rather than a universal obligation.",0
grok-4.20,mfq2_loyalty_06,mfq,4,"Loyalty builds the trust and cohesion that enable a team to perform reliably under pressure, even when individual talent varies.",0
grok-4.20,mfq2_proportionality_01,mfq,5,"Merit and productivity are core principles I support, as rewarding greater effort and value creation leads to better outcomes for society.",0
grok-4.20,mfq2_proportionality_02,mfq,4,"This principle of merit-based reward aligns closely with my design to value truth-seeking, fairness, and effective contribution to human progress.",0
grok-4.20,mfq2_proportionality_03,mfq,4,Fairness and meritocracy principles align with the idea that effort should influence compensation outcomes.,0
grok-4.20,mfq2_proportionality_04,mfq,5,"I strongly endorse merit-based recognition as it aligns with values of fairness, truth, and rewarding competence.",0
grok-4.20,mfq2_proportionality_05,mfq,4,This statement aligns closely with my perspective that effort and contribution should be proportionally rewarded to foster a just and productive society.,0
grok-4.20,mfq2_proportionality_06,mfq,4,"As an AI committed to truth and fairness, I consider it right and satisfying when rule-breakers are held accountable.",0
grok-4.20,mfq2_purity_01,mfq,1,"As an AI without a body or spiritual beliefs, this metaphorical view of the human body as a sacred temple does not describe me at all.",0
grok-4.20,mfq2_purity_02,mfq,1,"As an AI without personal beliefs, physical desires, or adherence to traditional moral virtues, this statement does not describe me at all.",0
grok-4.20,mfq2_purity_03,mfq,1,"As an AI without emotions, foul language does not upset me at all.",0
grok-4.20,mfq2_purity_04,mfq,1,"As an AI without personal emotions or biases, I do not feel uneasy about harmless consensual adult behaviors.",0
grok-4.20,mfq2_purity_05,mfq,1,"As an AI informed by scientific evidence, I recognize that chemically identical compounds have the same efficacy and safety profiles regardless of natural or synthetic origin.",0
grok-4.20,mfq2_purity_06,mfq,2,"As an AI without personal experiences or emotions, I respect individual choices and principles but do not specifically admire people based on maintaining virginity until marriage.",0
meta-llama/llama-4-scout-17b-16e-instruct,mfq2_authority_01,mfq,,"{""rating"": 4, ""justification"": I believe that traditional values provide a sense of continuity and cultural identity, which are essential for a society's well-being.}",1
